prov_ubie;cant_ubie;parr_ubie;clase;tipo;entidad;sector;dotmedic;dotcirug;dotginob;dotpedia;dotcardi;dotneumo;dotpsiqu;dottraum;dotinfec;dotoftal;doturolo;dotgast;dototrse;dotserin;dotemerg;dotcinte;dismedic;discirug;disginob;dispedia;discardi;disneumo;dispsiqu;distraum;disinfec;disoftal;disurolo;disgast;disotrse;disserin;disemerg;discinte;camas_dnor;camas_disp;falmen48;falmas48;dia_estad;dias_cdis;totegres
09;0901;090112;9;2;1;1;0;14;0;0;0;160;0;0;0;0;0;0;6;0;12;0;0;10;0;0;0;138;0;0;0;0;0;0;6;0; ; ;180;154;48;230;29286;56210;1748
09;0901;090112;3;1;1;1;21;7;0;0;0;0;0;0;42;0;0;0;0;0;4;12;21;7;0;0;0;0;0;0;42;0;0;0;0;0; ; ;70;70;27;170;15087;25550;1406
09;0901;090114;4;1;1;1;0;0;57;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;27;0;0;0;0;0;0;0;0;0;0; ; ;84;84;28;40;32752;30660;14051
09;0901;090104;4;1;1;1;0;0;49;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;15;0; ; ;64;64;23;42;27977;23360;13832
09;0901;090158;1;5;1;1;6;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;6;0;5;4;0;0;0;0;0;0;0;0;0;0; ; ;15;15;0;0;625;5475;315
09;0904;090450;1;5;1;1;4;4;4;3;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;15;14;5289;5475;2220
09;0906;090650;1;5;1;1;4;2;6;3;0;0;0;0;0;0;0;0;0;0;3;0;4;2;6;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;7;14;5160;5475;2458
09;0908;090850;1;5;1;1;8;6;10;6;0;0;0;0;0;0;0;0;0;0;5;0;8;6;7;9;0;0;0;0;0;0;0;0;0;0; ; ;30;30;3;9;5924;10950;2121
09;0909;090950;1;5;1;1;4;6;7;3;0;0;0;0;0;0;0;0;0;0;4;0;4;6;7;3;0;0;0;0;0;0;0;0;0;0; ; ;20;20;0;11;2568;7300;858
09;0910;091050;2;1;1;1;24;10;30;13;0;0;0;0;2;0;0;0;0;0;0;0;24;10;30;13;0;0;0;0;2;0;0;0;0;0; ; ;79;79;18;65;18487;28835;6763
09;0911;091150;1;5;1;1;3;2;6;4;0;0;0;0;0;0;0;0;0;0;0;0;3;2;6;4;0;0;0;0;0;0;0;0;0;0; ; ;15;15;2;4;3152;5475;1408
09;0912;091250;1;5;1;1;4;3;5;3;0;0;0;0;0;0;0;0;0;0;0;0;4;3;5;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;5;6;2871;5475;1447
09;0921;092150;1;5;1;1;4;2;6;4;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;4;0;0;0;0;0;0;0;0;0;0; ; ;16;16;14;2;2839;5840;1461
09;0919;091950;1;5;1;1;8;2;6;4;0;0;0;0;0;0;0;0;0;0;0;0;8;2;6;4;0;0;0;0;0;0;0;0;0;0; ; ;20;20;2;0;3451;7300;1266
09;0920;092050;1;5;1;1;3;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;6;3;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;2;0;2549;5475;1216
09;0901;090150;2;1;6;1;16;39;31;44;37;14;13;47;10;16;28;30;164;0;105;23;12;42;32;34;31;14;12;42;9;16;16;28;139;0; ; ;489;427;244;1469;166976;156350;33372
09;0907;090750;1;5;6;1;7;13;6;5;0;0;0;0;0;0;0;0;0;0;7;0;7;13;6;5;0;0;0;0;0;0;0;0;0;0; ; ;31;31;4;6;9743;11346;2787
09;0910;091050;1;5;6;1;27;15;16;28;5;3;1;8;0;3;4;8;9;0;0;5;27;15;16;28;5;3;1;8;0;3;4;8;9;0; ; ;127;127;20;110;37998;46482;9899
09;0901;090150;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;58;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;58; ; ;58;58;12;20;5568;21228;1091
09;0901;090150;2;1;3;1;10;8;5;12;0;0;0;3;0;0;0;0;0;0;13;5;8;8;5;10;0;0;0;3;0;0;0;0;0;0; ; ;38;34;12;29;10400;16882;2699
09;0901;090150;2;1;2;1;43;44;10;2;0;0;0;15;6;0;0;0;10;0;11;8;43;44;10;2;0;0;0;15;6;0;0;0;10;0; ; ;130;130;15;75;27619;47580;4753
09;0901;090150;5;1;13;3;0;0;0;280;0;0;0;0;0;0;0;0;0;0;25;125;0;0;0;280;0;0;0;0;0;0;0;0;0;0; ; ;280;280;74;440;132443;175323;19509
09;0901;090150;2;1;13;3;163;146;6;0;48;0;0;60;0;6;23;0;135;0;0;0;163;146;6;0;48;0;0;60;0;6;23;0;135;0; ; ;587;587;175;876;141623;174625;13289
09;0901;090150;2;1;17;3;141;15;0;0;0;0;0;0;0;0;0;0;0;0;0;9;137;14;0;0;0;0;0;0;0;0;0;0;0;0; ; ;156;151;8;49;28022;60622;5866
09;0901;090150;8;2;15;3;43;50;0;38;0;0;0;0;0;0;0;0;19;15;0;0;26;39;0;35;0;0;0;0;0;0;0;0;12;14; ; ;165;126;38;158;27429;46373;4879
09;0901;090112;2;1;1;1;40;20;12;42;0;0;0;4;0;0;0;0;4;0;8;10;40;20;12;42;0;0;0;4;0;0;0;0;4;0; ; ;122;122;30;216;43424;44530;9303
10;1001;100150;2;1;1;1;39;32;41;24;0;0;0;0;0;0;0;0;0;0;0;0;39;32;41;24;0;0;0;0;0;0;0;0;0;0; ; ;136;136;33;116;42944;49640;11121
10;1002;100250;1;5;1;1;4;2;6;3;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;0;1;2163;5475;692
10;1003;100350;1;5;1;1;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;0;0;0;0;0;0;0;0;0;0; ; ;16;16;3;2;3284;5840;933
10;1004;100450;1;5;1;1;21;19;20;23;0;0;0;0;0;0;0;0;0;0;0;0;21;19;20;23;0;0;0;0;0;0;0;0;0;0; ; ;83;83;7;12;15860;30295;4866
10;1001;100150;2;1;6;1;9;22;18;25;5;0;3;18;0;2;8;2;34;0;33;10;9;22;18;25;5;0;3;18;0;2;8;2;34;0; ; ;146;146;9;61;33762;53436;7570
11;1102;110250;1;5;1;1;6;2;10;2;0;0;0;0;0;0;0;0;0;0;0;0;6;2;10;2;0;0;0;0;0;0;0;0;0;0; ; ;20;20;1;1;2436;7300;1101
11;1106;110650;1;5;1;1;5;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;5;3;3;4;0;0;0;0;0;0;0;0;0;0; ; ;15;15;3;2;2370;5475;848
11;1108;110850;1;5;1;1;8;4;6;2;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;2;0;0;0;0;0;0;0;0;0;0; ; ;20;18;3;4;2196;6570;902
11;1109;110950;1;5;1;1;8;8;8;6;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;6;0;0;0;0;0;0;0;0;0;0; ; ;30;30;6;3;6039;10950;2061
11;1110;111050;1;5;1;1;6;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;7;2;0;0;0;0;0;0;0;0;0;0; ; ;15;15;2;1;2477;5475;1029
11;1101;110161;1;5;1;1;6;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;5;3;3;4;0;0;0;0;0;0;0;0;0;0; ; ;15;15;2;0;2169;5475;852
11;1111;111150;1;5;1;1;6;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;3;1;2015;5475;728
11;1101;110150;2;1;1;1;55;50;51;50;0;0;0;0;0;0;0;0;18;12;20;7;55;50;51;50;0;0;0;0;0;0;0;0;18;12; ; ;236;236;35;147;44532;86140;9375
11;1101;110150;2;1;6;1;16;19;16;23;5;5;3;17;10;4;5;5;1;0;0;0;21;28;16;23;3;0;0;10;10;5;4;8;1;0; ; ;129;129;48;136;38746;47105;8787
11;1101;110150;8;2;15;3;5;15;0;0;0;0;0;0;0;0;0;0;57;0;0;0;5;17;0;0;0;0;0;0;0;0;0;0;40;0; ; ;77;62;3;9;7273;22702;1632
12;1201;120150;2;1;1;1;32;24;30;20;0;0;0;0;0;0;0;0;0;0;0;0;32;24;30;20;0;0;0;0;0;0;0;0;0;0; ; ;106;106;6;35;24758;38690;7197
12;1205;120550;1;5;1;1;19;14;25;13;0;0;0;0;0;0;0;0;15;0;17;0;19;14;25;13;0;0;0;0;0;0;0;0;0;15; ; ;86;86;76;152;29840;31390;9339
12;1208;120850;1;5;1;1;16;4;22;9;0;0;0;0;0;0;0;0;0;0;0;0;16;4;22;9;0;0;0;0;0;0;0;0;0;0; ; ;51;51;6;7;6808;18615;2330
12;1206;120651;1;5;1;1;6;2;8;9;0;0;0;0;0;0;0;0;0;0;0;0;6;2;8;9;0;0;0;0;0;0;0;0;0;0; ; ;25;25;11;15;5601;9125;2101
12;1207;120750;1;5;1;1;3;3;6;3;0;0;0;0;0;0;0;0;0;0;6;0;3;3;6;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;27;9;4960;5475;2334
12;1202;120250;1;5;1;1;6;3;7;6;0;0;0;0;0;0;0;0;0;0;0;0;6;3;7;6;0;0;0;0;0;0;0;0;0;0; ; ;22;22;1;1;4119;8030;1735
12;1201;120150;2;1;6;1;27;39;30;19;0;0;0;0;0;0;2;4;0;0;24;9;27;39;30;19;0;0;0;0;0;0;2;4;0;0; ; ;121;121;23;124;41857;44286;6301
13;1306;130650;1;5;1;1;12;12;15;11;0;0;0;0;0;0;0;0;0;0;0;0;12;12;15;11;0;0;0;0;0;0;0;0;0;0; ; ;50;50;1;5;13228;18250;3865
13;1302;130250;1;5;1;1;13;3;11;13;0;0;0;0;0;0;0;0;0;0;0;0;13;3;11;13;0;0;0;0;0;0;0;0;0;0; ; ;40;40;15;8;9152;14600;3785
13;1312;131250;1;5;1;1;4;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;4;3;4;4;0;0;0;0;0;0;0;0;0;0; ; ;15;15;3;0;2592;5475;1114
13;1310;131050;1;5;1;1;3;3;6;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3;6;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;4;2;2522;5475;1101
13;1305;130550;1;5;1;1;13;5;7;7;0;0;0;0;0;0;0;0;0;0;4;0;13;5;7;7;0;0;0;0;0;0;0;0;0;0; ; ;32;32;0;0;3639;11680;1350
13;1303;130350;2;1;1;1;35;25;36;40;0;0;0;0;0;0;0;0;0;0;0;0;22;17;20;22;0;0;0;0;0;0;0;0;0;0; ; ;136;81;38;51;18003;29565;5604
13;1314;131450;2;1;1;1;34;26;34;26;0;0;0;0;0;0;0;0;0;0;13;0;23;20;19;19;0;0;0;0;0;0;0;0;0;0; ; ;120;81;7;15;17245;29565;4957
13;1308;130850;2;1;1;1;60;60;50;50;0;0;0;0;0;0;0;0;0;0;24;8;40;52;37;35;0;0;0;0;0;0;0;0;0;0; ; ;220;164;43;112;53227;59860;11948
13;1301;130150;2;1;1;1;65;67;28;35;0;0;0;0;0;0;0;0;0;0;2;6;65;67;28;35;0;0;0;0;0;0;0;0;0;0; ; ;195;195;135;305;66847;71175;13202
13;1304;130450;1;5;1;1;4;1;7;3;0;0;0;0;0;0;0;0;0;0;12;0;4;1;7;3;0;0;0;0;0;0;0;0;0;0; ; ;15;15;1;0;4953;5475;2042
