"PROVINCIA_ESTABLECIMIENTO","CANTO_ESTABLECIMIENTO","PARROQUIA_UBICACION","CLASE_ESTABLECIMIENTO","TIPO_ESTABLECIMIENTO","ENTIDAD","SECTOR","MEDICINA","CIRUGIA","GINECOLOGIA_OBSTETRICIA","PEDIATRIA","CARDIOLOGIA","NEUMOLOGIA","PSIQUIATRIA","TRAUMATOLOGIA","INFECTOLOGIA","OFTALMOLOGIA_OTORRINO","UROLOGIA","GASTROENTEROLOGIA","OTROS_SERVICIOS","SERVICIOS_INDIFERENCIADOS","CAMAS_EMERGENCIA","CAMAS_CUIDADOS_INTENSIVOS","CAMAS_DISPONIBLES_MEDICINA","CAMAS_DISPONIBLES_CIRUGIA","CAMAS_DISPONIBLES_GINECOLOGIA","CAMAS_DISPONIBLE_PEDIATRIA","CAMAS_DISPONIBLES_CARDIOLOGIA","CAMAS_DISPONIBLES_NEUMOLOGIA","CAMAS_DISPONIBLE_PSIQUIATRIA","CAMAS_DISPONIBLE_TRAUMOLOGIA","CAMAS_DISPONIBLES_INFECTOLOGIA","CAMAS_DISPONIBLES_OFTALMOLOGIA","CAMAS_DISPONIBLES_UROLOGIA","CAMAS_DISPONIBLES_GASTROENTEROLOGIA","CAMAS_DISPONIBLES_OTROS_SERVICIOS","CAMAS_DISPONIBLES_SERVICIOS_INDIFERENCIADOS","CAMAS_DISPONIBLES_EMERGENCIA","CAMAS_DISPONIBLES_CUIDADOS_INTENSIVOS","TOTAL_CAMAS_DONACION_NORMAL","TOTAL_CAMAS_DISPONIBLES","NUMERO_FALLECIDOS_MENOR_48H","NUMERO_FALLECIDOS_EN_48H_Y_MAS","DIAS_DE_ESTADA","DIAS_CAMAS_DISPONIBLES","NUMERO_DE_EGRESOS"
"Sucumbios","Lago Agrio","210150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"," "," ","9","9","0","0","715","3355","466"
"Sucumbios","Lago Agrio","210150","12","3","18","2","4","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","1","0","0","0","0","0","0","0","0","0","0"," "," ","7","7","0","0","77","2562","62"
"Esmeraldas","Esmeraldas","80150","12","3","18","2","1","2","3","1","0","0","0","1","0","0","0","0","0","0","0","0","1","2","3","1","0","0","0","1","0","0","0","0","0","0"," "," ","8","8","1","0","782","2928","478"
"Esmeraldas","Esmeraldas","80150","12","3","18","2","0","0","0","1","0","0","0","0","0","0","0","0","0","10","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10"," "," ","11","11","0","0","423","4026","283"
"Esmeraldas","Esmeraldas","80150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"," "," ","10","10","0","0","407","3660","376"
"Esmeraldas","Quininde","80450","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"," "," ","11","11","0","0","287","4026","255"
"Esmeraldas","Quininde","80450","12","3","18","2","0","2","0","0","0","0","0","0","0","0","0","0","0","9","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","9"," "," ","11","11","0","0","344","4026","304"
"Pichincha","Quito","170156","12","3","18","2","0","0","0","2","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","8"," "," ","10","10","1","1","645","3660","434"
"Pichincha","Quito","170150","12","3","18","2","0","0","0","6","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","8"," "," ","14","14","0","0","301","5124","160"
"Pichincha","Quito","170150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"," "," ","8","8","1","0","293","2928","175"
